uid expr treatment rep update orgs_killed
reg_test_noqs_reg_52 reg_test noqs_reg 52 10600 2776
reg_test_noqs_reg_52 reg_test noqs_reg 52 10700 2424
reg_test_noqs_reg_52 reg_test noqs_reg 52 10800 2782
reg_test_noqs_reg_52 reg_test noqs_reg 52 10900 2675
reg_test_noqs_reg_52 reg_test noqs_reg 52 11000 2485
reg_test_noqs_reg_52 reg_test noqs_reg 52 11100 2546
reg_test_noqs_reg_52 reg_test noqs_reg 52 11200 2377
reg_test_noqs_reg_52 reg_test noqs_reg 52 11300 2860
reg_test_noqs_reg_52 reg_test noqs_reg 52 11400 3035
reg_test_noqs_reg_52 reg_test noqs_reg 52 11500 2601
reg_test_noqs_reg_52 reg_test noqs_reg 52 11600 2633
reg_test_noqs_reg_52 reg_test noqs_reg 52 11700 2721
reg_test_noqs_reg_52 reg_test noqs_reg 52 11800 2581
reg_test_noqs_reg_52 reg_test noqs_reg 52 11900 2602
